0 1:0-2-6-1,0-4-6-1,0-4-14-1
0 2:0-2,0-4-6-2,0-4-12-2
0 3:0-4-3,0-9-20-3,0-4-18-16-3
0 4:0-4,0-2-12-4,0-2-6-4
0 5:0-2-12-5,0-4-6-5,0-2-6-5
0 6:0-2-6,0-4-6,0-15-21-6
0 7:0-4-7,0-2-12-7,0-4-12-7
0 8:0-9-8,0-19-8,0-4-3-20-9-8
0 9:0-9,0-19-8-9,0-4-3-20-9
0 10:0-4-10,0-15-21-10,0-4-18-21-10
0 11:0-2-12-11,0-4-12-11,0-4-14-11
0 12:0-2-12,0-4-12,0-4-7-12
0 13:0-2-6-13,0-4-6-13,0-2-6-1-13
0 14:0-4-14,0-15-21-14,0-4-18-21-14
0 15:0-15,0-2-6-21-15,0-4-10-21-15
0 16:0-4-3-16,0-4-18-16,0-9-20-3-16
0 17:0-15-21-17,0-2-6-21-17,0-4-6-21-17
0 18:0-4-18,0-15-21-18,0-4-3-16-18
0 19:0-19,0-9-8-19,0-4-3-20-9-8-19
0 20:0-9-20,0-4-3-20,0-19-8-9-20
0 21:0-15-21,0-2-6-21,0-4-6-21
1 0:1-6-2-0,1-14-4-0,1-6-4-0
1 2:1-6-2,1-13-6-2,1-6-4-0-2
1 3:1-6-4-3,1-14-4-3,1-13-6-4-3
1 4:1-6-4,1-14-4,1-13-6-4
1 5:1-6-5,1-13-6-5,1-6-2-12-5
1 6:1-6,1-13-6,1-14-4-6
1 7:1-6-4-7,1-14-4-7,1-6-2-12-7
1 8:1-6-2-0-9-8,1-14-4-0-9-8,1-6-4-0-9-8
1 9:1-6-2-0-9,1-14-4-0-9,1-6-4-0-9
1 10:1-6-21-10,1-14-4-10,1-6-4-10
1 11:1-14-11,1-6-4-12-11,1-14-4-12-11
1 12:1-6-2-12,1-14-4-12,1-6-4-12
1 13:1-13,1-6-13,1-14-4-6-13
1 14:1-14,1-6-4-14,1-6-21-14
1 15:1-6-21-15,1-14-21-15,1-6-2-0-15
1 16:1-6-21-18-16,1-14-4-3-16,1-6-4-3-16
1 17:1-6-21-17,1-14-21-17,1-6-5-17
1 18:1-6-21-18,1-14-4-18,1-6-4-18
1 19:1-6-2-0-19,1-14-4-0-19,1-6-4-0-19
1 20:1-6-4-3-20,1-14-4-3-20,1-6-4-0-9-20
1 21:1-6-21,1-14-21,1-13-6-21
2 0:2-0,2-6-4-0,2-12-4-0
2 1:2-6-1,2-6-13-1,2-0-4-14-1
2 3:2-0-4-3,2-6-4-3,2-12-4-3
2 4:2-0-4,2-6-4,2-12-4
2 5:2-6-5,2-12-5,2-6-21-17-5
2 6:2-6,2-0-4-6,2-12-4-6
2 7:2-12-7,2-0-4-7,2-12-4-7
2 8:2-0-9-8,2-0-19-8,2-6-4-0-9-8
2 9:2-0-9,2-6-4-0-9,2-0-19-8-9
2 10:2-0-4-10,2-6-4-10,2-12-4-10
2 11:2-12-11,2-0-4-14-11,2-12-4-14-11
2 12:2-12,2-0-4-12,2-6-4-12
2 13:2-6-13,2-6-1-13,2-0-4-6-13
2 14:2-0-4-14,2-6-4-14,2-12-4-14
2 15:2-0-15,2-6-21-15,2-12-4-0-15
2 16:2-0-4-18-16,2-6-4-3-16,2-0-4-3-16
2 17:2-6-21-17,2-12-5-17,2-6-5-17
2 18:2-0-4-18,2-6-4-18,2-12-4-18
2 19:2-0-19,2-6-4-0-19,2-0-9-8-19
2 20:2-0-9-20,2-6-4-3-20,2-0-4-3-20
2 21:2-6-21,2-0-15-21,2-6-1-14-21
3 0:3-4-0,3-20-9-0,3-4-6-2-0
3 1:3-4-6-1,3-4-14-1,3-4-6-13-1
3 2:3-4-0-2,3-4-6-2,3-4-12-2
3 4:3-4,3-16-18-4,3-20-9-0-4
3 5:3-4-6-5,3-4-12-5,3-4-7-12-5
3 6:3-4-6,3-16-18-4-6,3-4-0-2-6
3 7:3-4-7,3-4-12-7,3-16-18-4-7
3 8:3-20-9-8,3-4-0-9-8,3-4-0-19-8
3 9:3-20-9,3-4-0-9,3-16-18-4-0-9
3 10:3-4-10,3-16-18-4-10,3-4-18-21-10
3 11:3-4-12-11,3-4-14-11,3-4-7-12-11
3 12:3-4-12,3-4-7-12,3-16-18-4-12
3 13:3-4-6-13,3-4-14-1-13,3-4-6-1-13
3 14:3-4-14,3-16-18-4-14,3-4-18-21-14
3 15:3-4-0-15,3-16-18-21-15,3-4-6-21-15
3 16:3-16,3-4-18-16,3-4-14-21-18-16
3 17:3-4-10-21-17,3-16-18-21-17,3-4-6-21-17
3 18:3-4-18,3-16-18,3-4-14-21-18
3 19:3-4-0-19,3-20-9-0-19,3-20-9-8-19
3 20:3-20,3-4-0-9-20,3-16-18-4-0-9-20
3 21:3-4-10-21,3-16-18-21,3-4-6-21
4 0:4-0,4-6-2-0,4-12-2-0
4 1:4-6-1,4-14-1,4-6-13-1
4 2:4-0-2,4-6-2,4-12-2
4 3:4-3,4-18-16-3,4-0-9-20-3
4 5:4-6-5,4-12-5,4-7-12-5
4 6:4-6,4-0-2-6,4-10-21-6
4 7:4-7,4-12-7,4-0-2-12-7
4 8:4-0-9-8,4-0-19-8,4-3-20-9-8
4 9:4-0-9,4-3-20-9,4-0-19-8-9
4 10:4-10,4-6-21-10,4-18-21-10
4 11:4-12-11,4-14-11,4-7-12-11
4 12:4-12,4-7-12,4-0-2-12
4 13:4-6-13,4-14-1-13,4-6-1-13
4 14:4-14,4-6-21-14,4-18-21-14
4 15:4-0-15,4-6-21-15,4-10-21-15
4 16:4-3-16,4-18-16,4-14-21-18-16
4 17:4-6-21-17,4-10-21-17,4-6-5-17
4 18:4-18,4-6-21-18,4-14-21-18
4 19:4-0-19,4-6-2-0-19,4-0-9-8-19
4 20:4-3-20,4-0-9-20,4-18-16-3-20
4 21:4-6-21,4-10-21,4-14-21
5 0:5-6-2-0,5-12-2-0,5-6-4-0
5 1:5-6-1,5-6-13-1,5-12-4-6-1
5 2:5-6-2,5-12-2,5-6-4-0-2
5 3:5-6-4-3,5-12-4-3,5-12-7-4-3
5 4:5-6-4,5-12-4,5-12-7-4
5 6:5-6,5-12-4-6,5-17-21-6
5 7:5-12-7,5-6-4-7,5-12-4-7
5 8:5-6-2-0-9-8,5-12-2-0-9-8,5-6-4-0-9-8
5 9:5-6-2-0-9,5-12-2-0-9,5-6-4-0-9
5 10:5-6-21-10,5-12-4-10,5-6-4-10
5 11:5-12-11,5-6-2-12-11,5-12-4-14-11
5 12:5-12,5-6-2-12,5-6-4-12
5 13:5-6-13,5-6-1-13,5-12-4-6-13
5 14:5-6-1-14,5-12-4-14,5-6-4-14
5 15:5-6-21-15,5-17-21-15,5-6-2-0-15
5 16:5-6-21-18-16,5-12-4-3-16,5-6-4-3-16
5 17:5-17,5-6-21-17,5-12-2-6-21-17
5 18:5-6-21-18,5-12-4-18,5-6-4-18
5 19:5-6-2-0-19,5-12-2-0-19,5-6-4-0-19
5 20:5-6-4-3-20,5-12-4-3-20,5-6-4-0-9-20
5 21:5-6-21,5-17-21,5-6-1-14-21
6 0:6-2-0,6-4-0,6-21-15-0
6 1:6-1,6-13-1,6-21-14-1
6 2:6-2,6-5-12-2,6-4-0-2
6 3:6-4-3,6-1-14-4-3,6-4-18-16-3
6 4:6-4,6-1-14-4,6-2-12-4
6 5:6-5,6-21-17-5,6-4-12-5
6 7:6-4-7,6-2-12-7,6-4-12-7
6 8:6-2-0-9-8,6-4-0-9-8,6-2-0-19-8
6 9:6-2-0-9,6-4-0-9,6-21-15-0-9
6 10:6-4-10,6-21-10,6-4-18-21-10
6 11:6-1-14-11,6-2-12-11,6-4-12-11
6 12:6-2-12,6-4-12,6-5-12
6 13:6-13,6-1-13,6-21-14-1-13
6 14:6-1-14,6-4-14,6-21-14
6 15:6-21-15,6-2-0-15,6-4-0-15
6 16:6-4-3-16,6-21-18-16,6-4-18-16
6 17:6-5-17,6-21-17,6-1-14-21-17
6 18:6-4-18,6-21-18,6-4-14-21-18
6 19:6-2-0-19,6-4-0-19,6-21-15-0-19
6 20:6-4-3-20,6-2-0-9-20,6-4-0-9-20
6 21:6-21,6-1-14-21,6-5-17-21
7 0:7-4-0,7-12-2-0,7-12-4-0
7 1:7-4-6-1,7-4-14-1,7-12-2-6-1
7 2:7-12-2,7-4-0-2,7-4-6-2
7 3:7-4-3,7-12-4-3,7-4-18-16-3
7 4:7-4,7-12-4,7-12-2-0-4
7 5:7-12-5,7-4-6-5,7-4-12-5
7 6:7-4-6,7-12-2-6,7-12-4-6
7 8:7-4-0-9-8,7-4-0-19-8,7-4-3-20-9-8
7 9:7-4-0-9,7-12-2-0-9,7-4-3-20-9
7 10:7-4-10,7-12-4-10,7-4-6-21-10
7 11:7-12-11,7-4-12-11,7-4-14-11
7 12:7-12,7-4-12,7-4-0-2-12
7 13:7-4-6-13,7-12-2-6-13,7-4-14-1-13
7 14:7-4-14,7-12-4-14,7-12-11-14
7 15:7-4-0-15,7-12-2-0-15,7-4-6-21-15
7 16:7-4-3-16,7-4-18-16,7-12-4-3-16
7 17:7-12-5-17,7-4-6-21-17,7-4-10-21-17
7 18:7-4-18,7-12-4-18,7-4-6-21-18
7 19:7-4-0-19,7-12-2-0-19,7-12-4-0-19
7 20:7-4-3-20,7-12-4-3-20,7-4-0-9-20
7 21:7-4-6-21,7-4-10-21,7-4-14-21
8 0:8-9-0,8-19-0,8-9-20-3-4-0
8 1:8-9-0-2-6-1,8-19-0-2-6-1,8-9-0-4-6-1
8 2:8-9-0-2,8-19-0-2,8-9-0-4-12-2
8 3:8-9-20-3,8-19-0-4-3,8-9-0-4-3
8 4:8-9-0-4,8-19-0-4,8-9-20-3-4
8 5:8-9-0-2-6-5,8-19-0-2-6-5,8-9-0-4-6-5
8 6:8-9-0-2-6,8-19-0-2-6,8-9-0-4-6
8 7:8-9-0-4-7,8-19-0-4-7,8-9-0-2-12-7
8 9:8-9,8-19-0-9,8-19-0-4-3-20-9
8 10:8-9-0-4-10,8-19-0-4-10,8-9-0-15-21-10
8 11:8-9-0-2-12-11,8-19-0-2-12-11,8-9-0-4-12-11
8 12:8-9-0-2-12,8-19-0-2-12,8-9-0-4-12
8 13:8-9-0-2-6-13,8-19-0-2-6-13,8-9-0-4-6-13
8 14:8-9-0-4-14,8-19-0-4-14,8-9-0-15-21-14
8 15:8-9-0-15,8-19-0-15,8-9-20-3-4-0-15
8 16:8-9-20-3-16,8-19-0-4-3-16,8-9-0-4-3-16
8 17:8-9-0-15-21-17,8-19-0-15-21-17,8-9-0-2-6-21-17
8 18:8-9-0-4-18,8-19-0-4-18,8-9-0-15-21-18
8 19:8-19,8-9-0-19,8-9-20-3-4-0-19
8 20:8-9-20,8-19-0-9-20,8-9-0-4-3-20
8 21:8-9-0-15-21,8-19-0-15-21,8-9-0-2-6-21
9 0:9-0,9-8-19-0,9-20-3-4-0
9 1:9-0-2-6-1,9-0-4-6-1,9-0-4-14-1
9 2:9-0-2,9-8-19-0-2,9-0-4-12-2
9 3:9-20-3,9-0-4-3,9-8-19-0-4-3
9 4:9-0-4,9-20-3-4,9-0-2-6-4
9 5:9-0-2-6-5,9-0-4-6-5,9-0-2-12-5
9 6:9-0-2-6,9-0-4-6,9-20-3-4-6
9 7:9-0-4-7,9-20-3-4-7,9-0-2-12-7
9 8:9-8,9-0-19-8,9-20-3-4-0-19-8
9 10:9-0-4-10,9-20-3-4-10,9-0-15-21-10
9 11:9-0-2-12-11,9-0-4-12-11,9-0-4-14-11
9 12:9-0-2-12,9-0-4-12,9-20-3-4-12
9 13:9-0-2-6-13,9-0-4-6-13,9-20-3-4-6-13
9 14:9-0-4-14,9-20-3-4-14,9-0-15-21-14
9 15:9-0-15,9-8-19-0-15,9-0-2-6-21-15
9 16:9-20-3-16,9-0-4-3-16,9-0-4-18-16
9 17:9-0-15-21-17,9-0-2-6-21-17,9-0-4-6-21-17
9 18:9-0-4-18,9-20-3-4-18,9-0-15-21-18
9 19:9-0-19,9-8-19,9-20-3-4-0-19
9 20:9-20,9-0-4-3-20,9-8-19-0-4-3-20
9 21:9-0-15-21,9-0-2-6-21,9-0-4-6-21
10 0:10-4-0,10-21-15-0,10-4-6-2-0
10 1:10-4-14-1,10-21-6-1,10-4-6-1
10 2:10-4-12-2,10-21-6-2,10-4-0-2
10 3:10-4-3,10-21-6-4-3,10-4-18-16-3
10 4:10-4,10-21-6-4,10-21-14-4
10 5:10-4-12-5,10-21-6-5,10-4-6-5
10 6:10-4-6,10-21-6,10-4-0-2-6
10 7:10-4-7,10-4-12-7,10-21-6-4-7
10 8:10-4-0-9-8,10-4-0-19-8,10-4-3-20-9-8
10 9:10-4-0-9,10-21-15-0-9,10-4-3-20-9
10 11:10-4-12-11,10-21-14-11,10-4-14-11
10 12:10-4-12,10-4-7-12,10-21-6-2-12
10 13:10-4-6-13,10-21-6-13,10-4-14-1-13
10 14:10-4-14,10-21-14,10-4-6-21-14
10 15:10-21-15,10-4-0-15,10-4-6-21-15
10 16:10-4-3-16,10-21-18-16,10-4-18-16
10 17:10-21-17,10-4-6-21-17,10-21-6-5-17
10 18:10-4-18,10-21-18,10-4-6-21-18
10 19:10-4-0-19,10-21-15-0-19,10-4-6-2-0-19
10 20:10-4-3-20,10-4-0-9-20,10-21-6-4-3-20
10 21:10-21,10-4-6-21,10-4-14-21
11 0:11-12-4-0,11-14-4-0,11-12-2-0
11 1:11-14-1,11-12-2-6-1,11-14-4-6-1
11 2:11-12-2,11-14-1-6-2,11-12-4-0-2
11 3:11-12-4-3,11-14-4-3,11-12-7-4-3
11 4:11-12-4,11-14-4,11-12-7-4
11 5:11-12-5,11-14-1-6-5,11-12-2-6-5
11 6:11-12-4-6,11-14-1-6,11-12-2-6
11 7:11-12-7,11-14-4-7,11-12-4-7
11 8:11-12-4-0-9-8,11-14-4-0-9-8,11-12-2-0-9-8
11 9:11-12-4-0-9,11-14-4-0-9,11-12-2-0-9
11 10:11-12-4-10,11-14-4-10,11-14-21-10
11 12:11-12,11-14-4-12,11-14-4-7-12
11 13:11-14-1-13,11-12-2-6-13,11-14-4-6-13
11 14:11-14,11-12-4-14,11-12-7-4-14
11 15:11-14-21-15,11-12-2-0-15,11-14-4-0-15
11 16:11-12-4-3-16,11-14-4-3-16,11-12-4-18-16
11 17:11-12-5-17,11-14-21-17,11-12-4-14-21-17
11 18:11-12-4-18,11-14-4-18,11-14-21-18
11 19:11-12-4-0-19,11-14-4-0-19,11-12-2-0-19
11 20:11-12-4-3-20,11-14-4-3-20,11-12-4-0-9-20
11 21:11-14-21,11-12-2-6-21,11-14-1-6-21
12 0:12-2-0,12-4-0,12-7-4-0
